"","x"
"1","L2/3 IT VISp Rrad"
"2","L2/3 IT VISp Adamts2"
"3","L2/3 IT VISp Agmat"
"4","L4 IT VISp Rspo1"
"5","L5 IT VISp Hsd11b1 Endou"
"6","L5 IT VISp Whrn Tox2"
"7","L5 IT VISp Batf3"
"8","L5 IT VISp Col6a1 Fezf2"
"9","L5 IT VISp Col27a1"
"10","L6 IT VISp Penk Col27a1"
"11","L6 IT VISp Penk Fst"
"12","L6 IT VISp Col23a1 Adamts2"
"13","L6 IT VISp Col18a1"
"14","L6 IT VISp Car3"
"15","L5 PT VISp Chrna6"
"16","L5 PT VISp Lgr5"
"17","L5 PT VISp C1ql2 Ptgfr"
"18","L5 PT VISp C1ql2 Cdh13"
"19","L5 PT VISp Krt80"
"20","L5 NP VISp Trhr Cpne7"
"21","L5 NP VISp Trhr Met"
"22","L6 CT Nxph2 Sla"
"23","L6 CT VISp Krt80 Sla"
"24","L6 CT VISp Nxph2 Wls"
"25","L6 CT VISp Ctxn3 Brinp3"
"26","L6 CT VISp Ctxn3 Sla"
"27","L6 CT VISp Gpr139"
"28","L6b Col8a1 Rprm"
"29","L6b VISp Mup5"
"30","L6b VISp Col8a1 Rxfp1"
"31","L6b P2ry12"
"32","L6b VISp Crh"
"33","Lamp5 Krt73"
"34","Lamp5 Fam19a1 Pax6"
"35","Lamp5 Fam19a1 Tmem182"
"36","Lamp5 Ntn1 Npy2r"
"37","Lamp5 Plch2 Dock5"
"38","Lamp5 Lsp1"
"39","Lamp5 Lhx6"
"40","Sncg Slc17a8"
"41","Sncg Vip Nptx2"
"42","Sncg Gpr50"
"43","Sncg Vip Itih5"
"44","Serpinf1 Clrn1"
"45","Serpinf1 Aqp5 Vip"
"46","Vip Igfbp6 Car10"
"47","Vip Igfbp6 Pltp"
"48","Vip Lmo1 Fam159b"
"49","Vip Lmo1 Myl1"
"50","Vip Igfbp4 Mab21l1"
"51","Vip Arhgap36 Hmcn1"
"52","Vip Gpc3 Slc18a3"
"53","Vip Ptprt Pkp2"
"54","Vip Rspo4 Rxfp1 Chat"
"55","Vip Lect1 Oxtr"
"56","Vip Rspo1 Itga4"
"57","Vip Chat Htr1f"
"58","Vip Pygm C1ql1"
"59","Vip Crispld2 Htr2c"
"60","Vip Crispld2 Kcne4"
"61","Vip Col15a1 Pde1a"
"62","Sst Chodl"
"63","Sst Mme Fam114a1"
"64","Sst Tac1 Htr1d"
"65","Sst Tac1 Tacr3"
"66","Sst Calb2 Necab1"
"67","Sst Calb2 Pdlim5"
"68","Sst Nr2f2 Necab1"
"69","Sst Myh8 Etv1 "
"70","Sst Chrna2 Glra3"
"71","Sst Myh8 Fibin"
"72","Sst Chrna2 Ptgdr"
"73","Sst Tac2 Myh4"
"74","Sst Hpse Sema3c"
"75","Sst Hpse Cbln4"
"76","Sst Crhr2 Efemp1"
"77","Sst Crh 4930553C11Rik "
"78","Sst Esm1"
"79","Sst Tac2 Tacstd2"
"80","Sst Rxfp1 Eya1"
"81","Sst Rxfp1 Prdm8"
"82","Sst Nts"
"83","Pvalb Gabrg1"
"84","Pvalb Th Sst"
"85","Pvalb Calb1 Sst"
"86","Pvalb Akr1c18 Ntf3"
"87","Pvalb Sema3e Kank4"
"88","Pvalb Gpr149 Islr"
"89","Pvalb Reln Itm2a"
"90","Pvalb Reln Tac1"
"91","Pvalb Tpbg"
"92","Pvalb Vipr2"
"93","Meis2 Adamts19"
